count_id,date,product_id,true_stock,reported_stock,count_error,planted,incident_id
CNT000051,2025-09-03,P051,4.0,4.0,0.0,False,
CNT000052,2025-09-03,P052,12.0,12.0,0.0,False,
CNT000053,2025-09-03,P053,3.7,3.7,0.0,False,
CNT000054,2025-09-03,P054,5.46,5.46,0.0,False,
CNT000055,2025-09-03,P055,3.69,3.69,0.0,False,
CNT000056,2025-09-03,P056,3.76,3.86,0.1,False,
CNT000057,2025-09-03,K001,5.34,5.34,0.0,False,
CNT000058,2025-09-03,K002,3.51,3.51,0.0,False,
CNT000059,2025-09-03,K003,6.11,7.11,1.0,False,
CNT000060,2025-09-03,K004,5.26,5.26,0.0,False,
CNT000061,2025-09-03,K005,4.76,4.76,0.0,False,
CNT000062,2025-09-07,P001,117.4,117.4,0.0,False,
CNT000063,2025-09-07,P002,74.6,74.6,0.0,False,
CNT000064,2025-09-07,P003,75.2,75.2,0.0,False,
CNT000065,2025-09-07,P004,32.6,32.6,0.0,False,
CNT000066,2025-09-07,P005,81.6,81.6,0.0,False,
CNT000067,2025-09-07,P006,43.0,43.0,0.0,False,
CNT000068,2025-09-07,P007,54.4,54.4,0.0,False,
CNT000069,2025-09-07,P008,28.2,28.2,0.0,False,
CNT000070,2025-09-07,P009,3.05,3.05,0.0,False,
CNT000071,2025-09-07,P010,14.54,14.54,0.0,False,
CNT000072,2025-09-07,P011,6.04,6.04,0.0,False,
CNT000073,2025-09-07,P012,2.71,2.71,0.0,False,
CNT000074,2025-09-07,P013,14.83,14.83,0.0,False,
CNT000075,2025-09-07,P014,12.7,12.7,0.0,False,
CNT000076,2025-09-07,P015,2.63,2.63,0.0,False,
CNT000077,2025-09-07,P016,3.22,3.22,0.0,False,
CNT000078,2025-09-07,P017,2.97,2.97,0.0,False,
CNT000079,2025-09-07,P018,2.8,2.8,0.0,False,
CNT000080,2025-09-07,P019,6.87,5.87,-1.0,False,
CNT000081,2025-09-07,P020,4.87,4.87,0.0,False,
CNT000082,2025-09-07,P021,3.22,3.22,0.0,False,
CNT000083,2025-09-07,P022,14.29,14.29,0.0,False,
CNT000084,2025-09-07,P023,2.8,2.8,0.0,False,
CNT000085,2025-09-07,P024,2.97,2.97,0.0,False,
CNT000086,2025-09-07,P025,20.18,20.18,0.0,False,
CNT000087,2025-09-07,P026,14.37,14.37,0.0,False,
CNT000088,2025-09-07,P027,14.29,14.29,0.0,False,
CNT000089,2025-09-07,P028,3.31,3.31,0.0,False,
CNT000090,2025-09-07,P029,3.98,4.05,0.07,False,
CNT000091,2025-09-07,P030,3.06,2.91,-0.15,False,
CNT000092,2025-09-07,P031,11.22,10.93,-0.29,False,
CNT000093,2025-09-07,P032,2.8,2.8,0.0,False,
CNT000094,2025-09-07,P033,19.97,19.97,0.0,False,
CNT000095,2025-09-07,P034,5.96,5.96,0.0,False,
CNT000096,2025-09-07,P035,5.5,5.5,0.0,False,
CNT000097,2025-09-07,P036,4.72,4.72,0.0,False,
CNT000098,2025-09-07,P037,4.52,4.52,0.0,False,
CNT000099,2025-09-07,P038,19.67,19.67,0.0,False,
CNT000100,2025-09-07,P039,20.01,20.01,0.0,False,
CNT000101,2025-09-07,P040,8.2,7.2,-1.0,False,
CNT000102,2025-09-07,P041,31.62,31.62,0.0,False,
CNT000103,2025-09-07,P042,5.84,5.84,0.0,False,
CNT000104,2025-09-07,P043,124.14,124.14,0.0,False,
CNT000105,2025-09-07,P044,87.6,87.6,0.0,False,
CNT000106,2025-09-07,P045,68.2,68.2,0.0,False,
CNT000107,2025-09-07,P046,77.92,77.92,0.0,False,
CNT000108,2025-09-07,P047,81.3,81.1,-0.2,False,
CNT000109,2025-09-07,P048,61.8,61.8,0.0,False,
CNT000110,2025-09-07,P049,24.2,24.2,0.0,False,
CNT000111,2025-09-07,P050,4.0,4.0,0.0,False,
CNT000112,2025-09-07,P051,4.0,4.0,0.0,False,
CNT000113,2025-09-07,P052,8.13,8.13,0.0,False,
CNT000114,2025-09-07,P053,3.08,3.08,0.0,False,
CNT000115,2025-09-07,P054,3.68,3.68,0.0,False,
CNT000116,2025-09-07,P055,2.94,2.94,0.0,False,
CNT000117,2025-09-07,P056,3.29,3.29,0.0,False,
CNT000118,2025-09-07,K001,4.47,4.47,0.0,False,
CNT000119,2025-09-07,K002,3.79,3.79,0.0,False,
CNT000120,2025-09-07,K003,4.97,4.97,0.0,False,
CNT000121,2025-09-07,K004,4.25,4.25,0.0,False,
CNT000122,2025-09-07,K005,3.8,3.8,0.0,False,
CNT000123,2025-09-10,P001,82.4,82.4,0.0,False,
CNT000124,2025-09-10,P002,54.6,54.6,0.0,False,
CNT000125,2025-09-10,P003,51.2,51.2,0.0,False,
CNT000126,2025-09-10,P004,20.6,20.6,0.0,False,
CNT000127,2025-09-10,P005,60.6,60.6,0.0,False,
CNT000128,2025-09-10,P006,31.0,31.0,0.0,False,
CNT000129,2025-09-10,P007,43.4,43.4,0.0,False,
CNT000130,2025-09-10,P008,21.2,21.2,0.0,False,
CNT000131,2025-09-10,P009,14.45,14.45,0.0,False,
CNT000132,2025-09-10,P010,14.03,14.03,0.0,False,
CNT000133,2025-09-10,P011,16.16,16.16,0.0,False,
CNT000134,2025-09-10,P012,14.29,14.29,0.0,False,
CNT000135,2025-09-10,P013,11.3,11.3,0.0,False,
CNT000136,2025-09-10,P014,9.38,9.38,0.0,False,
CNT000137,2025-09-10,P015,14.29,14.29,0.0,False,
CNT000138,2025-09-10,P016,14.37,14.37,0.0,False,
CNT000139,2025-09-10,P017,14.71,14.71,0.0,False,
CNT000140,2025-09-10,P018,14.46,14.57,0.11,False,
CNT000141,2025-09-10,P019,17.07,17.07,0.0,False,
CNT000142,2025-09-10,P020,3.41,3.41,0.0,False,
CNT000143,2025-09-10,P021,14.37,14.17,-0.2,False,
CNT000144,2025-09-10,P022,13.6,13.6,0.0,False,
CNT000145,2025-09-10,P023,14.37,14.37,0.0,False,
CNT000146,2025-09-10,P024,14.54,14.54,0.0,False,
CNT000147,2025-09-10,P025,14.49,14.49,0.0,False,
CNT000148,2025-09-10,P026,13.77,13.77,0.0,False,
CNT000149,2025-09-10,P027,13.86,13.86,0.0,False,
CNT000150,2025-09-10,P028,3.06,3.06,0.0,False,
CNT000151,2025-09-10,P029,15.06,15.06,0.0,False,
CNT000152,2025-09-10,P030,14.71,14.71,0.0,False,
CNT000153,2025-09-10,P031,7.82,7.82,0.0,False,
CNT000154,2025-09-10,P032,14.29,14.29,0.0,False,
CNT000155,2025-09-10,P033,14.49,14.49,0.0,False,
CNT000156,2025-09-10,P034,16.24,16.24,0.0,False,
CNT000157,2025-09-10,P035,3.92,4.0,0.08,False,
CNT000158,2025-09-10,P036,3.35,3.35,0.0,False,
CNT000159,2025-09-10,P037,3.15,3.15,0.0,False,
CNT000160,2025-09-10,P038,15.03,15.03,0.0,False,
CNT000161,2025-09-10,P039,25.66,25.66,0.0,False,
CNT000162,2025-09-10,P040,5.2,5.2,0.0,False,
CNT000163,2025-09-10,P041,23.22,23.22,0.0,False,
CNT000164,2025-09-10,P042,16.24,16.24,0.0,False,
CNT000165,2025-09-10,P043,94.04,94.04,0.0,False,
CNT000166,2025-09-10,P044,63.6,63.6,0.0,False,
CNT000167,2025-09-10,P045,45.2,44.95,-0.25,False,
CNT000168,2025-09-10,P046,56.72,56.72,0.0,False,
CNT000169,2025-09-10,P047,58.0,58.0,0.0,False,
CNT000170,2025-09-10,P048,46.8,46.8,0.0,False,
CNT000171,2025-09-10,P049,17.2,17.2,0.0,False,
CNT000172,2025-09-10,P050,4.0,4.0,0.0,False,
CNT000173,2025-09-10,P051,4.0,4.0,0.0,False,
CNT000174,2025-09-10,P052,5.74,5.74,0.0,False,
CNT000175,2025-09-10,P053,2.8,2.8,0.0,False,
CNT000176,2025-09-10,P054,8.63,8.63,0.0,False,
CNT000177,2025-09-10,P055,8.49,8.4,-0.09,False,
CNT000178,2025-09-10,P056,3.02,3.02,0.0,False,
CNT000179,2025-09-10,K001,5.44,5.44,0.0,False,
CNT000180,2025-09-10,K002,4.76,4.76,0.0,False,
CNT000181,2025-09-10,K003,5.97,5.97,0.0,False,
CNT000182,2025-09-10,K004,6.02,6.02,0.0,False,
CNT000183,2025-09-10,K005,4.85,4.85,0.0,False,
CNT000184,2025-09-14,P001,53.4,53.4,0.0,False,
CNT000185,2025-09-14,P002,31.6,31.6,0.0,False,
CNT000186,2025-09-14,P003,34.2,34.2,0.0,False,
CNT000187,2025-09-14,P004,23.6,23.6,0.0,False,
CNT000188,2025-09-14,P005,44.6,44.6,0.0,False,
CNT000189,2025-09-14,P006,8.0,8.0,0.0,False,
CNT000190,2025-09-14,P007,35.4,34.4,-1.0,False,
CNT000191,2025-09-14,P008,30.2,30.2,0.0,False,
CNT000192,2025-09-14,P009,12.91,12.65,-0.26,False,
CNT000193,2025-09-14,P010,12.74,12.74,0.0,False,
CNT000194,2025-09-14,P011,12.94,12.94,0.0,False,
CNT000195,2025-09-14,P012,13.26,13.26,0.0,False,
CNT000196,2025-09-14,P013,15.47,15.47,0.0,False,
CNT000197,2025-09-14,P014,14.52,14.52,0.0,False,
CNT000198,2025-09-14,P015,13.51,13.51,0.0,False,
CNT000199,2025-09-14,P016,12.48,12.48,0.0,False,
CNT000200,2025-09-14,P017,13.77,13.77,0.0,False,
CNT000201,2025-09-14,P018,13.51,13.51,0.0,False,
CNT000202,2025-09-14,P019,13.3,13.3,0.0,False,
CNT000203,2025-09-14,P020,12.33,12.33,0.0,False,
CNT000204,2025-09-14,P021,12.57,12.57,0.0,False,
CNT000205,2025-09-14,P022,12.4,12.4,0.0,False,
CNT000206,2025-09-14,P023,13.6,13.6,0.0,False,
CNT000207,2025-09-14,P024,13.6,13.6,0.0,False,
CNT000208,2025-09-14,P025,15.32,15.32,0.0,False,
CNT000209,2025-09-14,P026,12.57,12.57,0.0,False,
CNT000210,2025-09-14,P027,12.57,12.57,0.0,False,
CNT000211,2025-09-14,P028,2.63,2.63,0.0,False,
CNT000212,2025-09-14,P029,12.89,12.89,0.0,False,
CNT000213,2025-09-14,P030,13.86,13.86,0.0,False,
CNT000214,2025-09-14,P031,13.52,13.52,0.0,False,
CNT000215,2025-09-14,P032,13.34,13.34,0.0,False,
CNT000216,2025-09-14,P033,16.46,16.46,0.0,False,
CNT000217,2025-09-14,P034,13.11,13.11,0.0,False,
CNT000218,2025-09-14,P035,12.77,12.77,0.0,False,
CNT000219,2025-09-14,P036,12.63,12.63,0.0,False,
CNT000220,2025-09-14,P037,12.79,12.79,0.0,False,
CNT000221,2025-09-14,P038,15.81,15.81,0.0,False,
CNT000222,2025-09-14,P039,12.73,12.73,0.0,False,
CNT000223,2025-09-14,P040,12.4,12.31,-0.09,False,
CNT000224,2025-09-14,P041,19.38,19.38,0.0,False,
CNT000225,2025-09-14,P042,13.04,12.97,-0.07,False,
CNT000226,2025-09-14,P043,22.94,22.94,0.0,False,
CNT000227,2025-09-14,P044,21.6,21.6,0.0,False,
CNT000228,2025-09-14,P045,31.2,31.2,0.0,False,
CNT000229,2025-09-14,P046,33.82,33.82,0.0,False,
CNT000230,2025-09-14,P047,15.36,15.36,0.0,False,
CNT000231,2025-09-14,P048,9.8,9.8,0.0,False,
CNT000232,2025-09-14,P049,25.2,25.2,0.0,False,
CNT000233,2025-09-14,P050,4.0,4.12,0.12,False,
CNT000234,2025-09-14,P051,4.0,4.0,0.0,False,
CNT000235,2025-09-14,P052,7.27,7.27,0.0,False,
CNT000236,2025-09-14,P053,8.03,8.3,0.27,False,
CNT000237,2025-09-14,P054,6.6,6.6,0.0,False,
CNT000238,2025-09-14,P055,7.62,7.62,0.0,False,
CNT000239,2025-09-14,P056,2.49,2.49,0.0,False,
CNT000240,2025-09-14,K001,4.18,4.18,0.0,False,
CNT000241,2025-09-14,K002,3.76,3.76,0.0,False,
CNT000242,2025-09-14,K003,5.16,5.16,0.0,False,
CNT000243,2025-09-14,K004,4.31,4.17,-0.14,False,
CNT000244,2025-09-14,K005,3.26,3.26,0.0,False,
CNT000245,2025-09-17,P001,34.4,34.4,0.0,False,
CNT000246,2025-09-17,P002,60.6,60.6,0.0,False,
CNT000247,2025-09-17,P003,63.2,63.2,0.0,False,
CNT000248,2025-09-17,P004,41.6,41.6,0.0,False,
CNT000249,2025-09-17,P005,72.6,72.6,0.0,False,
CNT000250,2025-09-17,P006,46.0,46.0,0.0,False,
CNT000251,2025-09-17,P007,23.4,23.4,0.0,False,
CNT000252,2025-09-17,P008,24.2,24.2,0.0,False,
CNT000253,2025-09-17,P009,12.31,12.12,-0.19,False,
CNT000254,2025-09-17,P010,12.4,12.4,0.0,False,
CNT000255,2025-09-17,P011,11.4,11.29,-0.11,False,
CNT000256,2025-09-17,P012,13.0,13.0,0.0,False,
CNT000257,2025-09-17,P013,11.83,11.77,-0.06,False,
CNT000258,2025-09-17,P014,12.14,12.14,0.0,False,
CNT000259,2025-09-17,P015,13.09,12.8,-0.29,False,
CNT000260,2025-09-17,P016,11.71,11.71,0.0,False,
CNT000261,2025-09-17,P017,13.51,13.51,0.0,False,
CNT000262,2025-09-17,P018,13.34,13.22,-0.12,False,
CNT000263,2025-09-17,P019,12.27,12.27,0.0,False,
CNT000264,2025-09-17,P020,10.95,10.95,0.0,False,
CNT000265,2025-09-17,P021,11.88,11.88,0.0,False,
CNT000266,2025-09-17,P022,11.97,11.97,0.0,False,
CNT000267,2025-09-17,P023,13.34,13.34,0.0,False,
CNT000268,2025-09-17,P024,13.17,13.17,0.0,False,
CNT000269,2025-09-17,P025,23.58,23.58,0.0,False,
CNT000270,2025-09-17,P026,12.06,12.06,0.0,False,
CNT000271,2025-09-17,P027,11.97,11.97,0.0,False,
CNT000272,2025-09-17,P028,2.46,2.46,0.0,False,
CNT000273,2025-09-17,P029,11.95,11.95,0.0,False,
CNT000274,2025-09-17,P030,13.51,13.51,0.0,False,
CNT000275,2025-09-17,P031,10.79,10.79,0.0,False,
CNT000276,2025-09-17,P032,13.09,13.09,0.0,False,
CNT000277,2025-09-17,P033,11.66,11.66,0.0,False,
CNT000278,2025-09-17,P034,11.49,11.49,0.0,False,
CNT000279,2025-09-17,P035,11.37,11.37,0.0,False,
CNT000280,2025-09-17,P036,11.58,11.58,0.0,False,
CNT000281,2025-09-17,P037,11.59,11.59,0.0,False,
CNT000282,2025-09-17,P038,24.63,24.87,0.24,False,
CNT000283,2025-09-17,P039,20.58,20.58,0.0,False,
CNT000284,2025-09-17,P040,11.2,11.2,0.0,False,
CNT000285,2025-09-17,P041,23.58,23.58,0.0,False,
CNT000286,2025-09-17,P042,12.04,12.04,0.0,False,
CNT000287,2025-09-17,P043,63.74,63.74,0.0,False,
CNT000288,2025-09-17,P044,56.6,56.6,0.0,False,
CNT000289,2025-09-17,P045,41.2,41.2,0.0,False,
CNT000290,2025-09-17,P046,62.32,62.32,0.0,False,
CNT000291,2025-09-17,P047,45.64,45.64,0.0,False,
CNT000292,2025-09-17,P048,44.8,44.8,0.0,False,
CNT000293,2025-09-17,P049,20.2,19.2,-1.0,False,
CNT000294,2025-09-17,P050,4.0,4.0,0.0,False,
CNT000295,2025-09-17,P051,4.0,4.0,0.0,False,
CNT000296,2025-09-17,P052,11.57,11.57,0.0,False,
CNT000297,2025-09-17,P053,7.72,7.72,0.0,False,
CNT000298,2025-09-17,P054,5.91,5.91,0.0,False,
CNT000299,2025-09-17,P055,7.34,7.43,0.09,False,
CNT000300,2025-09-17,P056,8.29,8.29,0.0,False,
CNT000301,2025-09-17,K001,5.26,5.26,0.0,False,
CNT000302,2025-09-17,K002,4.98,4.98,0.0,False,
CNT000303,2025-09-17,K003,6.18,6.18,0.0,False,
CNT000304,2025-09-17,K004,5.04,5.04,0.0,False,
CNT000305,2025-09-17,K005,4.47,4.47,0.0,False,
CNT000306,2025-09-21,P001,42.4,42.4,0.0,False,
CNT000307,2025-09-21,P002,31.6,31.6,0.0,False,
CNT000308,2025-09-21,P003,41.2,41.2,0.0,False,
CNT000309,2025-09-21,P004,20.6,20.6,0.0,False,
CNT000310,2025-09-21,P005,44.6,44.6,0.0,False,
CNT000311,2025-09-21,P006,43.0,43.0,0.0,False,
CNT000312,2025-09-21,P007,14.4,14.4,0.0,False,
CNT000313,2025-09-21,P008,29.2,29.2,0.0,False,
CNT000314,2025-09-21,P009,10.25,10.25,0.0,False,
CNT000315,2025-09-21,P010,10.86,10.86,0.0,False,
CNT000316,2025-09-21,P011,7.76,7.76,0.0,False,
CNT000317,2025-09-21,P012,12.23,12.23,0.0,False,
CNT000318,2025-09-21,P013,14.99,14.99,0.0,False,
CNT000319,2025-09-21,P014,16.24,16.24,0.0,False,
CNT000320,2025-09-21,P015,12.14,12.14,0.0,False,
CNT000321,2025-09-21,P016,9.65,9.65,0.0,False,
CNT000322,2025-09-21,P017,12.49,12.49,0.0,False,
CNT000323,2025-09-21,P018,12.49,12.49,0.0,False,
CNT000324,2025-09-21,P019,8.76,8.76,0.0,False,
CNT000325,2025-09-21,P020,7.61,7.61,0.0,False,
CNT000326,2025-09-21,P021,9.99,9.99,0.0,False,
CNT000327,2025-09-21,P022,10.69,10.69,0.0,False,
CNT000328,2025-09-21,P023,12.4,12.4,0.0,False,
CNT000329,2025-09-21,P024,12.14,12.14,0.0,False,
CNT000330,2025-09-21,P025,10.64,10.64,0.0,False,
CNT000331,2025-09-21,P026,10.51,10.51,0.0,False,
CNT000332,2025-09-21,P027,10.6,10.6,0.0,False,
CNT000333,2025-09-21,P028,13.86,13.86,0.0,False,
CNT000334,2025-09-21,P029,9.5,9.71,0.21,False,
CNT000335,2025-09-21,P030,12.49,12.49,0.0,False,
CNT000336,2025-09-21,P031,15.7,15.64,-0.06,False,
CNT000337,2025-09-21,P032,12.06,11.95,-0.11,False,
CNT000338,2025-09-21,P033,12.17,12.17,0.0,False,
CNT000339,2025-09-21,P034,7.93,7.93,0.0,False,
CNT000340,2025-09-21,P035,7.84,7.7,-0.14,False,
CNT000341,2025-09-21,P036,8.38,8.38,0.0,False,
CNT000342,2025-09-21,P037,8.97,8.97,0.0,False,
CNT000343,2025-09-21,P038,11.46,11.46,0.0,False,
CNT000344,2025-09-21,P039,18.68,18.68,0.0,False,
CNT000345,2025-09-21,P040,6.2,6.2,0.0,False,
CNT000346,2025-09-21,P041,16.9,16.9,0.0,False,
CNT000347,2025-09-21,P042,8.64,8.64,0.0,False,
CNT000348,2025-09-21,P043,33.34,33.34,0.0,False,
CNT000349,2025-09-21,P044,11.6,11.52,-0.08,False,
CNT000350,2025-09-21,P045,23.2,23.2,0.0,False,
CNT000351,2025-09-21,P046,12.32,12.32,0.0,False,
CNT000352,2025-09-21,P047,18.94,18.94,0.0,False,
CNT000353,2025-09-21,P048,6.8,6.8,0.0,False,
CNT000354,2025-09-21,P049,26.2,26.2,0.0,False,
CNT000355,2025-09-21,P050,4.0,4.0,0.0,False,
CNT000356,2025-09-21,P051,4.0,4.0,0.0,False,
CNT000357,2025-09-21,P052,6.34,6.34,0.0,False,
CNT000358,2025-09-21,P053,6.88,6.88,0.0,False,
CNT000359,2025-09-21,P054,3.46,3.46,0.0,False,
CNT000360,2025-09-21,P055,6.33,6.33,0.0,False,
CNT000361,2025-09-21,P056,7.61,8.61,1.0,False,
CNT000362,2025-09-21,K001,3.78,3.78,0.0,False,
CNT000363,2025-09-21,K002,4.0,4.0,0.0,False,
CNT000364,2025-09-21,K003,4.93,4.93,0.0,False,
CNT000365,2025-09-21,K004,4.64,4.64,0.0,False,
CNT000366,2025-09-21,K005,3.22,3.22,0.0,False,
CNT000367,2025-09-24,P001,59.4,59.4,0.0,False,
CNT000368,2025-09-24,P002,52.6,52.6,0.0,False,
CNT000369,2025-09-24,P003,46.2,46.2,0.0,False,
CNT000370,2025-09-24,P004,33.6,33.6,0.0,False,
CNT000371,2025-09-24,P005,66.6,66.6,0.0,False,
CNT000372,2025-09-24,P006,33.0,33.0,0.0,False,
CNT000373,2025-09-24,P007,48.4,48.4,0.0,False,
CNT000374,2025-09-24,P008,21.2,21.2,0.0,False,
CNT000375,2025-09-24,P009,9.48,9.48,0.0,False,
CNT000376,2025-09-24,P010,10.17,10.17,0.0,False,
CNT000377,2025-09-24,P011,6.17,6.17,0.0,False,
CNT000378,2025-09-24,P012,11.63,11.63,0.0,False,
CNT000379,2025-09-24,P013,10.47,10.47,0.0,False,
CNT000380,2025-09-24,P014,13.11,13.11,0.0,False,
CNT000381,2025-09-24,P015,11.63,11.63,0.0,False,
CNT000382,2025-09-24,P016,8.71,8.71,0.0,False,
CNT000383,2025-09-24,P017,12.06,12.06,0.0,False,
CNT000384,2025-09-24,P018,12.14,12.14,0.0,False,
CNT000385,2025-09-24,P019,7.05,7.05,0.0,False,
CNT000386,2025-09-24,P020,5.9,5.9,0.0,False,
CNT000387,2025-09-24,P021,9.05,9.05,0.0,False,
CNT000388,2025-09-24,P022,9.91,9.91,0.0,False,
CNT000389,2025-09-24,P023,12.06,12.06,0.0,False,
CNT000390,2025-09-24,P024,11.63,11.63,0.0,False,
CNT000391,2025-09-24,P025,17.25,17.25,0.0,False,
CNT000392,2025-09-24,P026,9.91,9.91,0.0,False,
CNT000393,2025-09-24,P027,10.0,10.0,0.0,False,
CNT000394,2025-09-24,P028,13.6,13.6,0.0,False,
CNT000395,2025-09-24,P029,8.32,8.32,0.0,False,
CNT000396,2025-09-24,P030,11.97,11.97,0.0,False,
CNT000397,2025-09-24,P031,12.0,11.94,-0.06,False,
CNT000398,2025-09-24,P032,11.63,11.63,0.0,False,
CNT000399,2025-09-24,P033,18.09,18.09,0.0,False,
CNT000400,2025-09-24,P034,6.43,6.43,0.0,False,
CNT000401,2025-09-24,P035,6.13,6.13,0.0,False,
CNT000402,2025-09-24,P036,7.21,7.21,0.0,False,
CNT000403,2025-09-24,P037,8.16,8.16,0.0,False,
CNT000404,2025-09-24,P038,17.85,17.85,0.0,False,
CNT000405,2025-09-24,P039,12.09,12.09,0.0,False,
CNT000406,2025-09-24,P040,15.8,15.8,0.0,False,
CNT000407,2025-09-24,P041,18.94,19.94,1.0,False,
CNT000408,2025-09-24,P042,7.24,7.24,0.0,False,
CNT000409,2025-09-24,P043,58.04,58.04,0.0,False,
CNT000410,2025-09-24,P044,30.6,30.6,0.0,False,
CNT000411,2025-09-24,P045,52.2,52.2,0.0,False,
CNT000412,2025-09-24,P046,38.32,38.32,0.0,False,
CNT000413,2025-09-24,P047,46.64,46.64,0.0,False,
CNT000414,2025-09-24,P048,38.8,38.8,0.0,False,
CNT000415,2025-09-24,P049,17.2,17.2,0.0,False,
CNT000416,2025-09-24,P050,4.0,4.0,0.0,False,
CNT000417,2025-09-24,P051,4.0,4.0,0.0,False,
CNT000418,2025-09-24,P052,3.96,3.96,0.0,False,
CNT000419,2025-09-24,P053,6.55,6.55,0.0,False,
CNT000420,2025-09-24,P054,8.51,8.51,0.0,False,
CNT000421,2025-09-24,P055,5.91,5.91,0.0,False,
CNT000422,2025-09-24,P056,7.37,7.37,0.0,False,
CNT000423,2025-09-24,K001,4.62,4.62,0.0,False,
CNT000424,2025-09-24,K002,4.22,4.22,0.0,False,
CNT000425,2025-09-24,K003,6.04,6.04,0.0,False,
CNT000426,2025-09-24,K004,5.28,5.28,0.0,False,
CNT000427,2025-09-24,K005,2.2,2.2,0.0,False,
CNT000428,2025-09-28,P001,55.4,55.64,0.24,False,
CNT000429,2025-09-28,P002,48.6,48.6,0.0,False,
CNT000430,2025-09-28,P003,9.2,9.2,0.0,False,
CNT000431,2025-09-28,P004,35.6,35.6,0.0,False,
CNT000432,2025-09-28,P005,16.6,16.6,0.0,False,
CNT000433,2025-09-28,P006,34.0,34.0,0.0,False,
CNT000434,2025-09-28,P007,45.4,45.4,0.0,False,
CNT000435,2025-09-28,P008,30.2,30.2,0.0,False,
CNT000436,2025-09-28,P009,7.94,7.94,0.0,False,
CNT000437,2025-09-28,P010,9.06,9.06,0.0,False,
CNT000438,2025-09-28,P011,15.13,15.13,0.0,False,
CNT000439,2025-09-28,P012,10.77,10.77,0.0,False,
CNT000440,2025-09-28,P013,14.71,14.9,0.19,False,
CNT000441,2025-09-28,P014,6.38,6.38,0.0,False,
CNT000442,2025-09-28,P015,10.6,10.6,0.0,False,
CNT000443,2025-09-28,P016,6.74,6.74,0.0,False,
CNT000444,2025-09-28,P017,11.03,11.03,0.0,False,
CNT000445,2025-09-28,P018,11.11,10.94,-0.17,False,
CNT000446,2025-09-28,P019,15.36,15.36,0.0,False,
CNT000447,2025-09-28,P020,14.3,14.3,0.0,False,
CNT000448,2025-09-28,P021,7.34,7.34,0.0,False,
