schedule_id,date,staff_id,name_en,name_he,role,station,shift_start,shift_end
SCH000058,2025-09-16,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000059,2025-09-16,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000060,2025-09-16,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000061,2025-09-17,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000062,2025-09-17,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000063,2025-09-17,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000064,2025-09-18,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000065,2025-09-18,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000066,2025-09-18,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000067,2025-09-18,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000068,2025-09-18,S07,Ido,עידו,barback,both,18:00,03:00
SCH000069,2025-09-19,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000070,2025-09-19,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000071,2025-09-19,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000072,2025-09-19,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000073,2025-09-19,S07,Ido,עידו,barback,both,18:00,03:00
SCH000074,2025-09-20,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000075,2025-09-20,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000076,2025-09-20,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000077,2025-09-20,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000078,2025-09-20,S07,Ido,עידו,barback,both,18:00,03:00
SCH000079,2025-09-21,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000080,2025-09-21,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000081,2025-09-21,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000082,2025-09-22,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000083,2025-09-22,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000084,2025-09-22,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000085,2025-09-23,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000086,2025-09-23,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000087,2025-09-23,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000088,2025-09-24,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000089,2025-09-24,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000090,2025-09-24,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000091,2025-09-25,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000092,2025-09-25,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000093,2025-09-25,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000094,2025-09-25,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000095,2025-09-25,S07,Ido,עידו,barback,both,18:00,03:00
SCH000096,2025-09-26,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000097,2025-09-26,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000098,2025-09-26,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000099,2025-09-26,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000100,2025-09-26,S07,Ido,עידו,barback,both,18:00,03:00
SCH000101,2025-09-27,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000102,2025-09-27,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000103,2025-09-27,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000104,2025-09-27,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000105,2025-09-27,S07,Ido,עידו,barback,both,18:00,03:00
SCH000106,2025-09-28,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000107,2025-09-28,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000108,2025-09-28,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000109,2025-09-29,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000110,2025-09-29,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000111,2025-09-29,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000112,2025-09-30,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000113,2025-09-30,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000114,2025-09-30,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000115,2025-10-01,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000116,2025-10-01,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000117,2025-10-01,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000118,2025-10-02,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000119,2025-10-02,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000120,2025-10-02,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000121,2025-10-02,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000122,2025-10-02,S07,Ido,עידו,barback,both,18:00,03:00
SCH000123,2025-10-03,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000124,2025-10-03,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000125,2025-10-03,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000126,2025-10-03,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000127,2025-10-03,S07,Ido,עידו,barback,both,18:00,03:00
SCH000128,2025-10-04,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000129,2025-10-04,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000130,2025-10-04,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000131,2025-10-04,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000132,2025-10-04,S07,Ido,עידו,barback,both,18:00,03:00
SCH000133,2025-10-05,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000134,2025-10-05,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000135,2025-10-05,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000136,2025-10-06,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000137,2025-10-06,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000138,2025-10-06,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000139,2025-10-07,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000140,2025-10-07,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000141,2025-10-07,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000142,2025-10-08,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000143,2025-10-08,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000144,2025-10-08,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000145,2025-10-09,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000146,2025-10-09,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000147,2025-10-09,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000148,2025-10-09,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000149,2025-10-09,S07,Ido,עידו,barback,both,18:00,03:00
SCH000150,2025-10-10,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000151,2025-10-10,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000152,2025-10-10,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000153,2025-10-10,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000154,2025-10-10,S07,Ido,עידו,barback,both,18:00,03:00
SCH000155,2025-10-11,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000156,2025-10-11,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000157,2025-10-11,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000158,2025-10-11,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000159,2025-10-11,S07,Ido,עידו,barback,both,18:00,03:00
SCH000160,2025-10-12,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000161,2025-10-12,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000162,2025-10-12,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000163,2025-10-13,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000164,2025-10-13,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000165,2025-10-13,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000166,2025-10-14,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000167,2025-10-14,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000168,2025-10-14,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000169,2025-10-15,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000170,2025-10-15,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000171,2025-10-15,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000172,2025-10-16,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000173,2025-10-16,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000174,2025-10-16,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000175,2025-10-16,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000176,2025-10-16,S07,Ido,עידו,barback,both,18:00,03:00
SCH000177,2025-10-17,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000178,2025-10-17,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000179,2025-10-17,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000180,2025-10-17,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000181,2025-10-17,S07,Ido,עידו,barback,both,18:00,03:00
SCH000182,2025-10-18,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000183,2025-10-18,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000184,2025-10-18,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000185,2025-10-18,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000186,2025-10-18,S07,Ido,עידו,barback,both,18:00,03:00
SCH000187,2025-10-19,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000188,2025-10-19,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000189,2025-10-19,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000190,2025-10-20,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000191,2025-10-20,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000192,2025-10-20,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000193,2025-10-21,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000194,2025-10-21,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000195,2025-10-21,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000196,2025-10-22,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000197,2025-10-22,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000198,2025-10-22,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000199,2025-10-23,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000200,2025-10-23,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000201,2025-10-23,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000202,2025-10-23,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000203,2025-10-23,S07,Ido,עידו,barback,both,18:00,03:00
SCH000204,2025-10-24,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000205,2025-10-24,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000206,2025-10-24,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000207,2025-10-24,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000208,2025-10-24,S07,Ido,עידו,barback,both,18:00,03:00
SCH000209,2025-10-25,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000210,2025-10-25,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000211,2025-10-25,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000212,2025-10-25,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000213,2025-10-25,S07,Ido,עידו,barback,both,18:00,03:00
SCH000214,2025-10-26,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000215,2025-10-26,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000216,2025-10-26,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000217,2025-10-27,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000218,2025-10-27,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000219,2025-10-27,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000220,2025-10-28,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000221,2025-10-28,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000222,2025-10-28,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000223,2025-10-29,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000224,2025-10-29,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000225,2025-10-29,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000226,2025-10-30,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000227,2025-10-30,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000228,2025-10-30,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000229,2025-10-30,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000230,2025-10-30,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000231,2025-10-30,S07,Ido,עידו,barback,both,18:00,03:00
SCH000232,2025-10-31,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000233,2025-10-31,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000234,2025-10-31,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000235,2025-10-31,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000236,2025-10-31,S07,Ido,עידו,barback,both,18:00,03:00
SCH000237,2025-11-01,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000238,2025-11-01,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000239,2025-11-01,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000240,2025-11-01,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000241,2025-11-01,S07,Ido,עידו,barback,both,18:00,03:00
SCH000242,2025-11-02,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000243,2025-11-02,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000244,2025-11-02,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000245,2025-11-03,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000246,2025-11-03,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000247,2025-11-03,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000248,2025-11-04,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000249,2025-11-04,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000250,2025-11-04,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000251,2025-11-05,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000252,2025-11-05,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000253,2025-11-05,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000254,2025-11-06,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000255,2025-11-06,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000256,2025-11-06,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000257,2025-11-06,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000258,2025-11-06,S07,Ido,עידו,barback,both,18:00,03:00
SCH000259,2025-11-07,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000260,2025-11-07,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000261,2025-11-07,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000262,2025-11-07,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000263,2025-11-07,S07,Ido,עידו,barback,both,18:00,03:00
SCH000264,2025-11-08,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000265,2025-11-08,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000266,2025-11-08,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000267,2025-11-08,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000268,2025-11-08,S07,Ido,עידו,barback,both,18:00,03:00
SCH000269,2025-11-09,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000270,2025-11-09,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000271,2025-11-09,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000272,2025-11-10,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000273,2025-11-10,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000274,2025-11-10,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000275,2025-11-11,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000276,2025-11-11,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000277,2025-11-11,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000278,2025-11-12,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000279,2025-11-12,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000280,2025-11-12,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000281,2025-11-13,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000282,2025-11-13,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000283,2025-11-13,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000284,2025-11-13,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000285,2025-11-13,S07,Ido,עידו,barback,both,18:00,03:00
SCH000286,2025-11-14,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000287,2025-11-14,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000288,2025-11-14,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000289,2025-11-14,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000290,2025-11-14,S07,Ido,עידו,barback,both,18:00,03:00
SCH000291,2025-11-15,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000292,2025-11-15,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000293,2025-11-15,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000294,2025-11-15,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000295,2025-11-15,S07,Ido,עידו,barback,both,18:00,03:00
SCH000296,2025-11-16,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000297,2025-11-16,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000298,2025-11-16,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000299,2025-11-17,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000300,2025-11-17,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000301,2025-11-17,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000302,2025-11-18,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000303,2025-11-18,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000304,2025-11-18,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000305,2025-11-19,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000306,2025-11-19,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000307,2025-11-19,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000308,2025-11-20,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000309,2025-11-20,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000310,2025-11-20,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000311,2025-11-20,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000312,2025-11-20,S07,Ido,עידו,barback,both,18:00,03:00
SCH000313,2025-11-21,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000314,2025-11-21,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000315,2025-11-21,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000316,2025-11-21,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000317,2025-11-21,S07,Ido,עידו,barback,both,18:00,03:00
SCH000318,2025-11-22,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000319,2025-11-22,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000320,2025-11-22,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000321,2025-11-22,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000322,2025-11-22,S07,Ido,עידו,barback,both,18:00,03:00
SCH000323,2025-11-23,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000324,2025-11-23,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000325,2025-11-23,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000326,2025-11-24,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000327,2025-11-24,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000328,2025-11-24,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000329,2025-11-25,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000330,2025-11-25,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000331,2025-11-25,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000332,2025-11-26,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000333,2025-11-26,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000334,2025-11-26,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000335,2025-11-27,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000336,2025-11-27,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000337,2025-11-27,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000338,2025-11-27,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000339,2025-11-27,S07,Ido,עידו,barback,both,18:00,03:00
SCH000340,2025-11-28,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000341,2025-11-28,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000342,2025-11-28,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000343,2025-11-28,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000344,2025-11-28,S07,Ido,עידו,barback,both,18:00,03:00
SCH000345,2025-11-29,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000346,2025-11-29,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000347,2025-11-29,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000348,2025-11-29,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000349,2025-11-29,S07,Ido,עידו,barback,both,18:00,03:00
