count_id,date,product_id,product_name,reported_stock,counted_by,station
CNT000080,2025-09-07,P019,Jameson,5.87,Yael,both
CNT000081,2025-09-07,P020,Jack Daniel's,4.87,Yael,both
CNT000082,2025-09-07,P021,Johnnie Walker Black,3.22,Yael,both
CNT000083,2025-09-07,P022,Chivas Regal,14.29,Yael,both
CNT000084,2025-09-07,P023,Maker's Mark,2.8,Yael,both
CNT000085,2025-09-07,P024,Glenfiddich 12,2.97,Yael,inside
CNT000086,2025-09-07,P025,Bacardi Carta Blanca,20.18,Yael,both
CNT000087,2025-09-07,P026,Havana Club 3,14.37,Yael,both
CNT000088,2025-09-07,P027,Captain Morgan,14.29,Yael,both
CNT000089,2025-09-07,P028,Diplomatico Reserva,3.31,Yael,both
CNT000090,2025-09-07,P029,Jose Cuervo,4.05,Yael,both
CNT000091,2025-09-07,P030,Olmeca Blanco,2.91,Yael,both
CNT000092,2025-09-07,P031,Patron Silver,10.93,Yael,inside
CNT000093,2025-09-07,P032,Don Julio Blanco,2.8,Yael,both
CNT000094,2025-09-07,P033,Aperol,19.97,Yael,outside
CNT000095,2025-09-07,P034,Campari,5.96,Yael,both
CNT000096,2025-09-07,P035,Cointreau,5.5,Yael,both
CNT000097,2025-09-07,P036,Kahlua,4.72,Yael,both
CNT000098,2025-09-07,P037,Martini Rosso,4.52,Yael,inside
CNT000099,2025-09-07,P038,House Red Wine,19.67,Yael,both
CNT000100,2025-09-07,P039,House White Wine,20.01,Yael,both
CNT000101,2025-09-07,P040,Rose Wine,7.2,Yael,both
CNT000102,2025-09-07,P041,Prosecco,31.62,Yael,both
CNT000103,2025-09-07,P042,Chardonnay,5.84,Yael,both
CNT000104,2025-09-07,P043,Coca-Cola,124.14,Yael,both
CNT000105,2025-09-07,P044,Coca-Cola Zero,87.6,Yael,both
CNT000106,2025-09-07,P045,Sprite,68.2,Yael,both
CNT000107,2025-09-07,P046,Tonic Water,77.92,Yael,both
CNT000108,2025-09-07,P047,Soda Water,81.1,Yael,both
CNT000109,2025-09-07,P048,Red Bull,61.8,Yael,both
CNT000110,2025-09-07,P049,Ginger Beer,24.2,Yael,both
CNT000111,2025-09-07,P050,Orange Juice,4.0,Yael,both
CNT000112,2025-09-07,P051,Cranberry Juice,4.0,Yael,both
CNT000113,2025-09-07,P052,Lime Juice,8.13,Yael,both
CNT000114,2025-09-07,P053,Lemon Juice,3.08,Yael,both
CNT000115,2025-09-07,P054,Sugar Syrup,3.68,Yael,both
CNT000116,2025-09-07,P055,Fresh Mint,2.94,Yael,both
CNT000117,2025-09-07,P056,Coffee Beans,3.29,Yael,inside
CNT000118,2025-09-07,K001,Carlsberg 50L,4.47,Yael,inside
CNT000119,2025-09-07,K002,Tuborg 50L,3.79,Yael,inside
CNT000120,2025-09-07,K003,Carlsberg 30L,4.97,Yael,outside
CNT000121,2025-09-07,K004,Malka 30L,4.25,Yael,outside
CNT000122,2025-09-07,K005,Weihenstephan 30L,3.8,Yael,outside
CNT000123,2025-09-10,P001,Carlsberg,82.4,Yael,both
CNT000124,2025-09-10,P002,Heineken,54.6,Yael,both
CNT000125,2025-09-10,P003,Corona,51.2,Yael,both
CNT000126,2025-09-10,P004,Guinness,20.6,Yael,both
CNT000127,2025-09-10,P005,Goldstar,60.6,Yael,both
CNT000128,2025-09-10,P006,Maccabee,31.0,Yael,both
CNT000129,2025-09-10,P007,Stella Artois,43.4,Yael,both
CNT000130,2025-09-10,P008,Erdinger,21.2,Yael,both
CNT000131,2025-09-10,P009,Bombay Sapphire,14.45,Yael,both
CNT000132,2025-09-10,P010,Tanqueray,14.03,Yael,both
CNT000133,2025-09-10,P011,Hendrick's,16.16,Yael,both
CNT000134,2025-09-10,P012,Beefeater,14.29,Yael,both
CNT000135,2025-09-10,P013,Gordon's,11.3,Yael,both
CNT000136,2025-09-10,P014,Absolut,9.38,Yael,both
CNT000137,2025-09-10,P015,Finlandia,14.29,Yael,both
CNT000138,2025-09-10,P016,Grey Goose,14.37,Yael,both
CNT000139,2025-09-10,P017,Belvedere,14.71,Yael,both
CNT000140,2025-09-10,P018,Stolichnaya,14.57,Yael,both
CNT000141,2025-09-10,P019,Jameson,17.07,Yael,both
CNT000142,2025-09-10,P020,Jack Daniel's,3.41,Yael,both
CNT000143,2025-09-10,P021,Johnnie Walker Black,14.17,Yael,both
CNT000144,2025-09-10,P022,Chivas Regal,13.6,Yael,both
CNT000145,2025-09-10,P023,Maker's Mark,14.37,Yael,both
CNT000146,2025-09-10,P024,Glenfiddich 12,14.54,Yael,inside
CNT000147,2025-09-10,P025,Bacardi Carta Blanca,14.49,Yael,both
CNT000148,2025-09-10,P026,Havana Club 3,13.77,Yael,both
CNT000149,2025-09-10,P027,Captain Morgan,13.86,Yael,both
CNT000150,2025-09-10,P028,Diplomatico Reserva,3.06,Yael,both
CNT000151,2025-09-10,P029,Jose Cuervo,15.06,Yael,both
CNT000152,2025-09-10,P030,Olmeca Blanco,14.71,Yael,both
CNT000153,2025-09-10,P031,Patron Silver,7.82,Yael,inside
CNT000154,2025-09-10,P032,Don Julio Blanco,14.29,Yael,both
CNT000155,2025-09-10,P033,Aperol,14.49,Yael,outside
CNT000156,2025-09-10,P034,Campari,16.24,Yael,both
CNT000157,2025-09-10,P035,Cointreau,4.0,Yael,both
CNT000158,2025-09-10,P036,Kahlua,3.35,Yael,both
CNT000159,2025-09-10,P037,Martini Rosso,3.15,Yael,inside
CNT000160,2025-09-10,P038,House Red Wine,15.03,Yael,both
CNT000161,2025-09-10,P039,House White Wine,25.66,Yael,both
CNT000162,2025-09-10,P040,Rose Wine,5.2,Yael,both
CNT000163,2025-09-10,P041,Prosecco,23.22,Yael,both
CNT000164,2025-09-10,P042,Chardonnay,16.24,Yael,both
CNT000165,2025-09-10,P043,Coca-Cola,94.04,Yael,both
CNT000166,2025-09-10,P044,Coca-Cola Zero,63.6,Yael,both
CNT000167,2025-09-10,P045,Sprite,44.95,Yael,both
CNT000168,2025-09-10,P046,Tonic Water,56.72,Yael,both
CNT000169,2025-09-10,P047,Soda Water,58.0,Yael,both
CNT000170,2025-09-10,P048,Red Bull,46.8,Yael,both
CNT000171,2025-09-10,P049,Ginger Beer,17.2,Yael,both
CNT000172,2025-09-10,P050,Orange Juice,4.0,Yael,both
CNT000173,2025-09-10,P051,Cranberry Juice,4.0,Yael,both
CNT000174,2025-09-10,P052,Lime Juice,5.74,Yael,both
CNT000175,2025-09-10,P053,Lemon Juice,2.8,Yael,both
CNT000176,2025-09-10,P054,Sugar Syrup,8.63,Yael,both
CNT000177,2025-09-10,P055,Fresh Mint,8.4,Yael,both
CNT000178,2025-09-10,P056,Coffee Beans,3.02,Yael,inside
CNT000179,2025-09-10,K001,Carlsberg 50L,5.44,Yael,inside
CNT000180,2025-09-10,K002,Tuborg 50L,4.76,Yael,inside
CNT000181,2025-09-10,K003,Carlsberg 30L,5.97,Yael,outside
CNT000182,2025-09-10,K004,Malka 30L,6.02,Yael,outside
CNT000183,2025-09-10,K005,Weihenstephan 30L,4.85,Yael,outside
CNT000184,2025-09-14,P001,Carlsberg,53.4,Tomer,both
CNT000185,2025-09-14,P002,Heineken,31.6,Tomer,both
CNT000186,2025-09-14,P003,Corona,34.2,Tomer,both
CNT000187,2025-09-14,P004,Guinness,23.6,Tomer,both
CNT000188,2025-09-14,P005,Goldstar,44.6,Tomer,both
CNT000189,2025-09-14,P006,Maccabee,8.0,Tomer,both
CNT000190,2025-09-14,P007,Stella Artois,34.4,Tomer,both
CNT000191,2025-09-14,P008,Erdinger,30.2,Tomer,both
CNT000192,2025-09-14,P009,Bombay Sapphire,12.65,Tomer,both
CNT000193,2025-09-14,P010,Tanqueray,12.74,Tomer,both
CNT000194,2025-09-14,P011,Hendrick's,12.94,Tomer,both
CNT000195,2025-09-14,P012,Beefeater,13.26,Tomer,both
CNT000196,2025-09-14,P013,Gordon's,15.47,Tomer,both
CNT000197,2025-09-14,P014,Absolut,14.52,Tomer,both
CNT000198,2025-09-14,P015,Finlandia,13.51,Tomer,both
CNT000199,2025-09-14,P016,Grey Goose,12.48,Tomer,both
CNT000200,2025-09-14,P017,Belvedere,13.77,Tomer,both
CNT000201,2025-09-14,P018,Stolichnaya,13.51,Tomer,both
CNT000202,2025-09-14,P019,Jameson,13.3,Tomer,both
CNT000203,2025-09-14,P020,Jack Daniel's,12.33,Tomer,both
CNT000204,2025-09-14,P021,Johnnie Walker Black,12.57,Tomer,both
CNT000205,2025-09-14,P022,Chivas Regal,12.4,Tomer,both
CNT000206,2025-09-14,P023,Maker's Mark,13.6,Tomer,both
CNT000207,2025-09-14,P024,Glenfiddich 12,13.6,Tomer,inside
CNT000208,2025-09-14,P025,Bacardi Carta Blanca,15.32,Tomer,both
CNT000209,2025-09-14,P026,Havana Club 3,12.57,Tomer,both
CNT000210,2025-09-14,P027,Captain Morgan,12.57,Tomer,both
CNT000211,2025-09-14,P028,Diplomatico Reserva,2.63,Tomer,both
CNT000212,2025-09-14,P029,Jose Cuervo,12.89,Tomer,both
CNT000213,2025-09-14,P030,Olmeca Blanco,13.86,Tomer,both
CNT000214,2025-09-14,P031,Patron Silver,13.52,Tomer,inside
CNT000215,2025-09-14,P032,Don Julio Blanco,13.34,Tomer,both
CNT000216,2025-09-14,P033,Aperol,16.46,Tomer,outside
CNT000217,2025-09-14,P034,Campari,13.11,Tomer,both
CNT000218,2025-09-14,P035,Cointreau,12.77,Tomer,both
CNT000219,2025-09-14,P036,Kahlua,12.63,Tomer,both
CNT000220,2025-09-14,P037,Martini Rosso,12.79,Tomer,inside
CNT000221,2025-09-14,P038,House Red Wine,15.81,Tomer,both
CNT000222,2025-09-14,P039,House White Wine,12.73,Tomer,both
CNT000223,2025-09-14,P040,Rose Wine,12.31,Tomer,both
CNT000224,2025-09-14,P041,Prosecco,19.38,Tomer,both
CNT000225,2025-09-14,P042,Chardonnay,12.97,Tomer,both
CNT000226,2025-09-14,P043,Coca-Cola,22.94,Tomer,both
CNT000227,2025-09-14,P044,Coca-Cola Zero,21.6,Tomer,both
CNT000228,2025-09-14,P045,Sprite,31.2,Tomer,both
CNT000229,2025-09-14,P046,Tonic Water,33.82,Tomer,both
CNT000230,2025-09-14,P047,Soda Water,15.36,Tomer,both
CNT000231,2025-09-14,P048,Red Bull,9.8,Tomer,both
CNT000232,2025-09-14,P049,Ginger Beer,25.2,Tomer,both
CNT000233,2025-09-14,P050,Orange Juice,4.12,Tomer,both
CNT000234,2025-09-14,P051,Cranberry Juice,4.0,Tomer,both
CNT000235,2025-09-14,P052,Lime Juice,7.27,Tomer,both
CNT000236,2025-09-14,P053,Lemon Juice,8.3,Tomer,both
CNT000237,2025-09-14,P054,Sugar Syrup,6.6,Tomer,both
CNT000238,2025-09-14,P055,Fresh Mint,7.62,Tomer,both
CNT000239,2025-09-14,P056,Coffee Beans,2.49,Tomer,inside
CNT000240,2025-09-14,K001,Carlsberg 50L,4.18,Tomer,inside
CNT000241,2025-09-14,K002,Tuborg 50L,3.76,Tomer,inside
CNT000242,2025-09-14,K003,Carlsberg 30L,5.16,Tomer,outside
CNT000243,2025-09-14,K004,Malka 30L,4.17,Tomer,outside
CNT000244,2025-09-14,K005,Weihenstephan 30L,3.26,Tomer,outside
CNT000245,2025-09-17,P001,Carlsberg,34.4,Tomer,both
CNT000246,2025-09-17,P002,Heineken,60.6,Tomer,both
CNT000247,2025-09-17,P003,Corona,63.2,Tomer,both
CNT000248,2025-09-17,P004,Guinness,41.6,Tomer,both
CNT000249,2025-09-17,P005,Goldstar,72.6,Tomer,both
CNT000250,2025-09-17,P006,Maccabee,46.0,Tomer,both
CNT000251,2025-09-17,P007,Stella Artois,23.4,Tomer,both
CNT000252,2025-09-17,P008,Erdinger,24.2,Tomer,both
CNT000253,2025-09-17,P009,Bombay Sapphire,12.12,Tomer,both
CNT000254,2025-09-17,P010,Tanqueray,12.4,Tomer,both
CNT000255,2025-09-17,P011,Hendrick's,11.29,Tomer,both
CNT000256,2025-09-17,P012,Beefeater,13.0,Tomer,both
CNT000257,2025-09-17,P013,Gordon's,11.77,Tomer,both
CNT000258,2025-09-17,P014,Absolut,12.14,Tomer,both
CNT000259,2025-09-17,P015,Finlandia,12.8,Tomer,both
CNT000260,2025-09-17,P016,Grey Goose,11.71,Tomer,both
CNT000261,2025-09-17,P017,Belvedere,13.51,Tomer,both
CNT000262,2025-09-17,P018,Stolichnaya,13.22,Tomer,both
CNT000263,2025-09-17,P019,Jameson,12.27,Tomer,both
CNT000264,2025-09-17,P020,Jack Daniel's,10.95,Tomer,both
CNT000265,2025-09-17,P021,Johnnie Walker Black,11.88,Tomer,both
CNT000266,2025-09-17,P022,Chivas Regal,11.97,Tomer,both
CNT000267,2025-09-17,P023,Maker's Mark,13.34,Tomer,both
CNT000268,2025-09-17,P024,Glenfiddich 12,13.17,Tomer,inside
CNT000269,2025-09-17,P025,Bacardi Carta Blanca,23.58,Tomer,both
CNT000270,2025-09-17,P026,Havana Club 3,12.06,Tomer,both
CNT000271,2025-09-17,P027,Captain Morgan,11.97,Tomer,both
CNT000272,2025-09-17,P028,Diplomatico Reserva,2.46,Tomer,both
CNT000273,2025-09-17,P029,Jose Cuervo,11.95,Tomer,both
CNT000274,2025-09-17,P030,Olmeca Blanco,13.51,Tomer,both
CNT000275,2025-09-17,P031,Patron Silver,10.79,Tomer,inside
CNT000276,2025-09-17,P032,Don Julio Blanco,13.09,Tomer,both
CNT000277,2025-09-17,P033,Aperol,11.66,Tomer,outside
CNT000278,2025-09-17,P034,Campari,11.49,Tomer,both
CNT000279,2025-09-17,P035,Cointreau,11.37,Tomer,both
CNT000280,2025-09-17,P036,Kahlua,11.58,Tomer,both
CNT000281,2025-09-17,P037,Martini Rosso,11.59,Tomer,inside
CNT000282,2025-09-17,P038,House Red Wine,24.87,Tomer,both
CNT000283,2025-09-17,P039,House White Wine,20.58,Tomer,both
CNT000284,2025-09-17,P040,Rose Wine,11.2,Tomer,both
CNT000285,2025-09-17,P041,Prosecco,23.58,Tomer,both
CNT000286,2025-09-17,P042,Chardonnay,12.04,Tomer,both
CNT000287,2025-09-17,P043,Coca-Cola,63.74,Tomer,both
CNT000288,2025-09-17,P044,Coca-Cola Zero,56.6,Tomer,both
CNT000289,2025-09-17,P045,Sprite,41.2,Tomer,both
CNT000290,2025-09-17,P046,Tonic Water,62.32,Tomer,both
CNT000291,2025-09-17,P047,Soda Water,45.64,Tomer,both
CNT000292,2025-09-17,P048,Red Bull,44.8,Tomer,both
CNT000293,2025-09-17,P049,Ginger Beer,19.2,Tomer,both
CNT000294,2025-09-17,P050,Orange Juice,4.0,Tomer,both
CNT000295,2025-09-17,P051,Cranberry Juice,4.0,Tomer,both
CNT000296,2025-09-17,P052,Lime Juice,11.57,Tomer,both
CNT000297,2025-09-17,P053,Lemon Juice,7.72,Tomer,both
CNT000298,2025-09-17,P054,Sugar Syrup,5.91,Tomer,both
CNT000299,2025-09-17,P055,Fresh Mint,7.43,Tomer,both
CNT000300,2025-09-17,P056,Coffee Beans,8.29,Tomer,inside
CNT000301,2025-09-17,K001,Carlsberg 50L,5.26,Tomer,inside
CNT000302,2025-09-17,K002,Tuborg 50L,4.98,Tomer,inside
CNT000303,2025-09-17,K003,Carlsberg 30L,6.18,Tomer,outside
CNT000304,2025-09-17,K004,Malka 30L,5.04,Tomer,outside
CNT000305,2025-09-17,K005,Weihenstephan 30L,4.47,Tomer,outside
CNT000306,2025-09-21,P001,Carlsberg,42.4,Muriel,both
CNT000307,2025-09-21,P002,Heineken,31.6,Muriel,both
CNT000308,2025-09-21,P003,Corona,41.2,Muriel,both
CNT000309,2025-09-21,P004,Guinness,20.6,Muriel,both
CNT000310,2025-09-21,P005,Goldstar,44.6,Muriel,both
CNT000311,2025-09-21,P006,Maccabee,43.0,Muriel,both
CNT000312,2025-09-21,P007,Stella Artois,14.4,Muriel,both
CNT000313,2025-09-21,P008,Erdinger,29.2,Muriel,both
CNT000314,2025-09-21,P009,Bombay Sapphire,10.25,Muriel,both
CNT000315,2025-09-21,P010,Tanqueray,10.86,Muriel,both
CNT000316,2025-09-21,P011,Hendrick's,7.76,Muriel,both
CNT000317,2025-09-21,P012,Beefeater,12.23,Muriel,both
CNT000318,2025-09-21,P013,Gordon's,14.99,Muriel,both
CNT000319,2025-09-21,P014,Absolut,16.24,Muriel,both
CNT000320,2025-09-21,P015,Finlandia,12.14,Muriel,both
CNT000321,2025-09-21,P016,Grey Goose,9.65,Muriel,both
CNT000322,2025-09-21,P017,Belvedere,12.49,Muriel,both
CNT000323,2025-09-21,P018,Stolichnaya,12.49,Muriel,both
CNT000324,2025-09-21,P019,Jameson,8.76,Muriel,both
CNT000325,2025-09-21,P020,Jack Daniel's,7.61,Muriel,both
CNT000326,2025-09-21,P021,Johnnie Walker Black,9.99,Muriel,both
CNT000327,2025-09-21,P022,Chivas Regal,10.69,Muriel,both
CNT000328,2025-09-21,P023,Maker's Mark,12.4,Muriel,both
CNT000329,2025-09-21,P024,Glenfiddich 12,12.14,Muriel,inside
CNT000330,2025-09-21,P025,Bacardi Carta Blanca,10.64,Muriel,both
CNT000331,2025-09-21,P026,Havana Club 3,10.51,Muriel,both
CNT000332,2025-09-21,P027,Captain Morgan,10.6,Muriel,both
CNT000333,2025-09-21,P028,Diplomatico Reserva,13.86,Muriel,both
CNT000334,2025-09-21,P029,Jose Cuervo,9.71,Muriel,both
CNT000335,2025-09-21,P030,Olmeca Blanco,12.49,Muriel,both
CNT000336,2025-09-21,P031,Patron Silver,15.64,Muriel,inside
CNT000337,2025-09-21,P032,Don Julio Blanco,11.95,Muriel,both
CNT000338,2025-09-21,P033,Aperol,12.17,Muriel,outside
CNT000339,2025-09-21,P034,Campari,7.93,Muriel,both
CNT000340,2025-09-21,P035,Cointreau,7.7,Muriel,both
CNT000341,2025-09-21,P036,Kahlua,8.38,Muriel,both
CNT000342,2025-09-21,P037,Martini Rosso,8.97,Muriel,inside
CNT000343,2025-09-21,P038,House Red Wine,11.46,Muriel,both
CNT000344,2025-09-21,P039,House White Wine,18.68,Muriel,both
CNT000345,2025-09-21,P040,Rose Wine,6.2,Muriel,both
CNT000346,2025-09-21,P041,Prosecco,16.9,Muriel,both
CNT000347,2025-09-21,P042,Chardonnay,8.64,Muriel,both
CNT000348,2025-09-21,P043,Coca-Cola,33.34,Muriel,both
CNT000349,2025-09-21,P044,Coca-Cola Zero,11.52,Muriel,both
CNT000350,2025-09-21,P045,Sprite,23.2,Muriel,both
CNT000351,2025-09-21,P046,Tonic Water,12.32,Muriel,both
CNT000352,2025-09-21,P047,Soda Water,18.94,Muriel,both
CNT000353,2025-09-21,P048,Red Bull,6.8,Muriel,both
CNT000354,2025-09-21,P049,Ginger Beer,26.2,Muriel,both
CNT000355,2025-09-21,P050,Orange Juice,4.0,Muriel,both
CNT000356,2025-09-21,P051,Cranberry Juice,4.0,Muriel,both
CNT000357,2025-09-21,P052,Lime Juice,6.34,Muriel,both
CNT000358,2025-09-21,P053,Lemon Juice,6.88,Muriel,both
CNT000359,2025-09-21,P054,Sugar Syrup,3.46,Muriel,both
CNT000360,2025-09-21,P055,Fresh Mint,6.33,Muriel,both
CNT000361,2025-09-21,P056,Coffee Beans,8.61,Muriel,inside
CNT000362,2025-09-21,K001,Carlsberg 50L,3.78,Muriel,inside
CNT000363,2025-09-21,K002,Tuborg 50L,4.0,Muriel,inside
CNT000364,2025-09-21,K003,Carlsberg 30L,4.93,Muriel,outside
CNT000365,2025-09-21,K004,Malka 30L,4.64,Muriel,outside
CNT000366,2025-09-21,K005,Weihenstephan 30L,3.22,Muriel,outside
CNT000367,2025-09-24,P001,Carlsberg,59.4,Maya,both
CNT000368,2025-09-24,P002,Heineken,52.6,Maya,both
CNT000369,2025-09-24,P003,Corona,46.2,Maya,both
CNT000370,2025-09-24,P004,Guinness,33.6,Maya,both
CNT000371,2025-09-24,P005,Goldstar,66.6,Maya,both
CNT000372,2025-09-24,P006,Maccabee,33.0,Maya,both
CNT000373,2025-09-24,P007,Stella Artois,48.4,Maya,both
CNT000374,2025-09-24,P008,Erdinger,21.2,Maya,both
CNT000375,2025-09-24,P009,Bombay Sapphire,9.48,Maya,both
CNT000376,2025-09-24,P010,Tanqueray,10.17,Maya,both
CNT000377,2025-09-24,P011,Hendrick's,6.17,Maya,both
CNT000378,2025-09-24,P012,Beefeater,11.63,Maya,both
CNT000379,2025-09-24,P013,Gordon's,10.47,Maya,both
CNT000380,2025-09-24,P014,Absolut,13.11,Maya,both
CNT000381,2025-09-24,P015,Finlandia,11.63,Maya,both
CNT000382,2025-09-24,P016,Grey Goose,8.71,Maya,both
CNT000383,2025-09-24,P017,Belvedere,12.06,Maya,both
CNT000384,2025-09-24,P018,Stolichnaya,12.14,Maya,both
CNT000385,2025-09-24,P019,Jameson,7.05,Maya,both
CNT000386,2025-09-24,P020,Jack Daniel's,5.9,Maya,both
CNT000387,2025-09-24,P021,Johnnie Walker Black,9.05,Maya,both
CNT000388,2025-09-24,P022,Chivas Regal,9.91,Maya,both
CNT000389,2025-09-24,P023,Maker's Mark,12.06,Maya,both
CNT000390,2025-09-24,P024,Glenfiddich 12,11.63,Maya,inside
CNT000391,2025-09-24,P025,Bacardi Carta Blanca,17.25,Maya,both
CNT000392,2025-09-24,P026,Havana Club 3,9.91,Maya,both
CNT000393,2025-09-24,P027,Captain Morgan,10.0,Maya,both
CNT000394,2025-09-24,P028,Diplomatico Reserva,13.6,Maya,both
CNT000395,2025-09-24,P029,Jose Cuervo,8.32,Maya,both
CNT000396,2025-09-24,P030,Olmeca Blanco,11.97,Maya,both
CNT000397,2025-09-24,P031,Patron Silver,11.94,Maya,inside
CNT000398,2025-09-24,P032,Don Julio Blanco,11.63,Maya,both
CNT000399,2025-09-24,P033,Aperol,18.09,Maya,outside
CNT000400,2025-09-24,P034,Campari,6.43,Maya,both
CNT000401,2025-09-24,P035,Cointreau,6.13,Maya,both
CNT000402,2025-09-24,P036,Kahlua,7.21,Maya,both
CNT000403,2025-09-24,P037,Martini Rosso,8.16,Maya,inside
CNT000404,2025-09-24,P038,House Red Wine,17.85,Maya,both
CNT000405,2025-09-24,P039,House White Wine,12.09,Maya,both
CNT000406,2025-09-24,P040,Rose Wine,15.8,Maya,both
CNT000407,2025-09-24,P041,Prosecco,19.94,Maya,both
CNT000408,2025-09-24,P042,Chardonnay,7.24,Maya,both
CNT000409,2025-09-24,P043,Coca-Cola,58.04,Maya,both
